name,market,funding_total_usd,status,state_code,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
Clear Standards,Enterprise Software,4000000,acquired,VA,1.0,,2008-11-24,2008-11-24,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear Story Systems,Software,1100000,acquired,NY,1.0,,2005-01-28,2005-01-28,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClearAccess,Web Hosting,6000000,acquired,WA,1.0,,2009-08-18,2009-08-18,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0
ClearApp,Enterprise Software,14200000,acquired,CA,1.0,2002-01-01,2006-06-14,2006-06-14,0.0,14200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14200000.0,0.0,0.0,0.0,0.0,0.0,0.0
ClearPoint Metrics,Software,3800000,acquired,MA,2.0,1999-01-01,2005-12-28,2009-12-30,0.0,3500000.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClearSaleing,Advertising,1776763,acquired,OH,2.0,2006-01-01,2006-06-19,2009-12-21,0.0,1776763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1776763.0,0.0,0.0,0.0,0.0,0.0
Clearway Technology Partners,Software,730000,closed,MA,1.0,,2010-01-29,2010-01-29,0.0,730000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clearwell Systems,Ediscovery,29000000,acquired,CA,2.0,2004-12-06,2006-04-04,2007-08-22,0.0,29000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,17000000.0,0.0,0.0,0.0,0.0,0.0
Clearwire,Internet,5700000000,acquired,WA,4.0,2003-10-01,2008-05-06,2013-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000000.0,4700000000.0,920000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clever Sense,Curated Web,2000000,acquired,CA,2.0,2008-04-11,2010-06-17,2011-08-01,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
